article_name,country,revision_id,population,article_quality
Simon Khaya-Moyo,Zimbabwe,730764918,17354000,Stub
"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,17354000,B
Jevan Maseko,Zimbabwe,736911246,17354000,Stub
Munacho Mutezo,Zimbabwe,738729779,17354000,Stub
Sesel Zvidzai,Zimbabwe,738810400,17354000,Stub
Samuel Sipepa Nkomo,Zimbabwe,738992625,17354000,Stub
Faber Chidarikire,Zimbabwe,738992871,17354000,Start
Willard Chiwewe,Zimbabwe,738992910,17354000,Stub
Martin Dinha,Zimbabwe,738992918,17354000,Stub
Herbert Ushewokunze,Zimbabwe,739137894,17354000,Stub
Nyasha Chikwinya,Zimbabwe,742899761,17354000,Start
Naomi Nhiwatiwa,Zimbabwe,743971092,17354000,Start
Bright Matonga,Zimbabwe,744753863,17354000,Stub
Thokozani Khuphe,Zimbabwe,747274193,17354000,Start
Border Gezi,Zimbabwe,748061603,17354000,Start
Rugare Gumbo,Zimbabwe,749496266,17354000,Start
George Nyandoro,Zimbabwe,750224976,17354000,Start
Paul Chimedza,Zimbabwe,750428952,17354000,Stub
Gorden Moyo,Zimbabwe,750974704,17354000,Stub
Daniel Shumba,Zimbabwe,753294248,17354000,Start
Douglas Mombeshora,Zimbabwe,755110125,17354000,Stub
Munyaradzi Gwisai,Zimbabwe,755337199,17354000,Start
Olivia Muchena,Zimbabwe,757616307,17354000,Start
Paurine Mpariwa,Zimbabwe,757616437,17354000,Stub
Sithembiso Nyoni,Zimbabwe,757617613,17354000,Stub
Earnest Mudzengi,Zimbabwe,757796569,17354000,Stub
Gift Banda,Zimbabwe,758442662,17354000,Stub
Wilson Kumbula,Zimbabwe,759330558,17354000,Stub
Paurina Mpariwa,Zimbabwe,760532029,17354000,Stub
Flora Buka,Zimbabwe,762630896,17354000,Stub
Elliot Manyika,Zimbabwe,763330074,17354000,Start
Diana Mitchell,Zimbabwe,764299725,17354000,Start
Maurice Nyagumbo,Zimbabwe,764826793,17354000,Start
Josiah Zion Gumede,Zimbabwe,765095810,17354000,Start
Edson Zvobgo,Zimbabwe,767922311,17354000,Start
Felix Magalela Mafa Sibanda,Zimbabwe,769519957,17354000,C
Tracy Mutinhiri,Zimbabwe,769876632,17354000,Stub
Kayisa Ndiweni,Zimbabwe,771958995,17354000,Stub
Enoch Dumbutshena,Zimbabwe,774026217,17354000,Stub
Hubert Nyanhongo,Zimbabwe,774061307,17354000,Stub
James Chikerema,Zimbabwe,775935799,17354000,C
Victoria Chitepo,Zimbabwe,776389556,17354000,Start
Joel Gabuza,Zimbabwe,776840034,17354000,Stub
Trudy Stevenson,Zimbabwe,776943338,17354000,Start
Joram Gumbo,Zimbabwe,777424335,17354000,Stub
Joseph Chinotimba,Zimbabwe,777482252,17354000,C
Nkululeko Sibanda,Zimbabwe,777623864,17354000,Start
Janet Banana,Zimbabwe,777849777,17354000,Stub
Lazarus Dokora,Zimbabwe,780062778,17354000,Stub
Lutho Tapela,Zimbabwe,782607746,17354000,Stub
Moven Mahachi,Zimbabwe,783298283,17354000,Stub
Margaret Dongo,Zimbabwe,783419906,17354000,Start
Sekai Holland,Zimbabwe,783637102,17354000,C
George Chiweshe,Zimbabwe,783919896,17354000,Start
Josiah Mushore Chinamano,Zimbabwe,784396785,17354000,Stub
Michael Bimha,Zimbabwe,784668448,17354000,Stub
Josiah Tongogara,Zimbabwe,786913202,17354000,C
Naison Ndlovu,Zimbabwe,787854175,17354000,Stub
Enos Mdlongwa,Zimbabwe,787854640,17354000,Stub
Lindiwe Majele Sibanda,Zimbabwe,788247480,17354000,Start
Ndabaningi Sithole,Zimbabwe,788291899,17354000,C
Ambrose Mutinhiri,Zimbabwe,788777043,17354000,Stub
Judith Todd,Zimbabwe,788792548,17354000,Start
Andrew Langa,Zimbabwe,789094827,17354000,Stub
Christopher Kuruneri,Zimbabwe,789427326,17354000,Start
Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,17354000,Stub
Swithun Mombeshora,Zimbabwe,789545179,17354000,Stub
Oppah Muchinguri,Zimbabwe,789545185,17354000,Stub
Samuel Mumbengegwi,Zimbabwe,789545206,17354000,Start
Chris Mushohwe,Zimbabwe,789545212,17354000,Stub
Giles Mutsekwa,Zimbabwe,789545214,17354000,Stub
Francis Nhema,Zimbabwe,789545220,17354000,Stub
Mike Nyambuya,Zimbabwe,789545233,17354000,Stub
Solomon Mujuru,Zimbabwe,789898624,17354000,C
Ronald Penza,Zimbabwe,789948565,17354000,Stub
Joseph Made,Zimbabwe,789965571,17354000,Start
Evelyn Masaiti,Zimbabwe,790034879,17354000,Stub
Jessie Majome,Zimbabwe,790035057,17354000,Start
Theresa Makoni,Zimbabwe,790423262,17354000,Stub
List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,17354000,Stub
Blessing Chebundo,Zimbabwe,791690130,17354000,Start
George Charamba,Zimbabwe,793738070,17354000,Start
Chenhanho Chimutengwende,Zimbabwe,793820850,17354000,Start
Simon Muzenda,Zimbabwe,794934380,17354000,Start
Witness Mangwende,Zimbabwe,794934451,17354000,Stub
Nathan Shamuyarira,Zimbabwe,794934469,17354000,Stub
Joseph Makamba Busha,Zimbabwe,795007156,17354000,Stub
Walter Chidakwa,Zimbabwe,795247525,17354000,Stub
Maxwell Zeb Shumba,Zimbabwe,795637625,17354000,Stub
Henry Madzorera,Zimbabwe,795846349,17354000,Start
First Lady of Zimbabwe,Zimbabwe,796477244,17354000,Start
Charles Shanyurai Majange,Zimbabwe,796608492,17354000,Start
Elleck Mashingaidze,Zimbabwe,796726442,17354000,C
Phillip Chiyangwa,Zimbabwe,797170378,17354000,Start
Chenjerai Hunzvi,Zimbabwe,797225827,17354000,Stub
Edward Chindori-Chininga,Zimbabwe,797414978,17354000,Start
Arthur Mutambara,Zimbabwe,797932659,17354000,Stub
Edgar Tekere,Zimbabwe,798106157,17354000,Stub
Psychology Maziwisa,Zimbabwe,798140615,17354000,Stub
Isaac Matongo,Zimbabwe,798248963,17354000,Stub
Julia Tukai Zvobgo,Zimbabwe,798468363,17354000,Start
Jameson Timba,Zimbabwe,799326094,17354000,C
Ben Ncube,Zimbabwe,799405378,17354000,Start
Obedingwa Mguni,Zimbabwe,799406056,17354000,C
Denis Norman,Zimbabwe,799605293,17354000,C
Japhet Ndabeni Ncube,Zimbabwe,800407734,17354000,C
Nicholas Mabodoko,Zimbabwe,800407872,17354000,Stub
Fay Chung,Zimbabwe,800705666,17354000,C
Alfred Makwarimba,Zimbabwe,801370822,17354000,Stub
Elphas Mukonoweshuro,Zimbabwe,801488585,17354000,Stub
Elton Mangoma,Zimbabwe,801497420,17354000,Stub
Edna Madzongwe,Zimbabwe,802259324,17354000,Start
Fidelis Mhashu,Zimbabwe,803084855,17354000,Stub
Promise Mkwananzi,Zimbabwe,803579259,17354000,Stub
Saviour Kasukuwere,Zimbabwe,804677245,17354000,C
Walter Mzembi,Zimbabwe,804678140,17354000,Stub
Kembo Mohadi,Zimbabwe,804811059,17354000,Stub
Learnmore Jongwe,Zimbabwe,804844902,17354000,Start
Lovemore Madhuku,Zimbabwe,804895632,17354000,Start
List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,17354000,Stub
Joice Mujuru,Zimbabwe,805993308,17354000,Start
Ignatious Chombo,Zimbabwe,806656210,17354000,Start
Robert Mugabe,Zimbabwe,806814411,17354000,Stub
Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,17354000,Start
Guy Georgias,Zimbabwe,807196681,17354000,Start
Grace Mugabe,Zimbabwe,807337237,17354000,C
Guy Clutton-Brock,Zimbabwe,807442408,17354000,Stub
Template:Uganda-politician-stub,Uganda,391862070,40141000,C
Template:Uganda-mayor-stub,Uganda,444767727,40141000,Start
Yosia Nadiope of Busoga,Uganda,655390291,40141000,FA
Patrick Mutono,Uganda,684295893,40141000,C
Stanislaus Okurut,Uganda,689614169,40141000,C
Charles Oboth Ofumbi,Uganda,693292931,40141000,GA
Pumla Kisosonkole,Uganda,693388584,40141000,Start
Francis K. Butagira,Uganda,707473503,40141000,Start
Otema Allimadi,Uganda,708054598,40141000,Stub
Omwony Ojwok,Uganda,713020154,40141000,Stub
Jachan Mandir Omach,Uganda,715433158,40141000,Stub
Onegi Obel,Uganda,717146307,40141000,Start
Saleh Kamba,Uganda,720059752,40141000,Stub
John Kabaireho,Uganda,723957779,40141000,Stub
Tete Chelangat,Uganda,724554948,40141000,Stub
Sarah Kanyike,Uganda,725742962,40141000,Start
Gagawala Wambuzi,Uganda,726767754,40141000,Stub
Julius Wandera Maganda,Uganda,726918511,40141000,Stub
Haruna Kasolo Kyeyune,Uganda,726919678,40141000,Stub
Yabezi Kiiza,Uganda,736273855,40141000,Stub
Semei Kakungulu,Uganda,737799048,40141000,Start
Abu Mayanja,Uganda,746946728,40141000,C
Daniel Kidega,Uganda,753278613,40141000,Start
Eng Abner Nangwale,Uganda,756457100,40141000,Stub
Yowabu Magada Kawaluuko,Uganda,757388522,40141000,Start
Grace Kwiyucwiny,Uganda,757563021,40141000,Start
Mary Goretti Kitutu,Uganda,757615490,40141000,Start
Rukiya Chekamondo,Uganda,757616921,40141000,Start
Sezi Mbaguta,Uganda,757617202,40141000,Start
Frederick Ngobi Gume,Uganda,758395750,40141000,Stub
Rosemary Seninde,Uganda,758567928,40141000,Start
Gerald Ssendaula,Uganda,759366517,40141000,C
Juma Oris,Uganda,759378614,40141000,Stub
Godfrey Kiwanda,Uganda,759877869,40141000,Stub
Geoffrey Onegi Obel,Uganda,760056661,40141000,Start
Tom Butime,Uganda,760181848,40141000,Start
Dennis Galabuzi Ssozi,Uganda,760184747,40141000,Start
Ken Lukyamuzi,Uganda,763247419,40141000,Stub
Victoria Sekitoleko,Uganda,766481345,40141000,C
Emmanuel Otala,Uganda,766665157,40141000,Start
Kabakumba Masiko,Uganda,770316807,40141000,C
Innocent Oula,Uganda,771724283,40141000,Start
Isaac Mulindwa,Uganda,773245217,40141000,Start
Hope Mwesigye,Uganda,773870932,40141000,Start
Katikkiro of Buganda,Uganda,774683767,40141000,Stub
Daudi Cwa II of Buganda,Uganda,774683907,40141000,C
Ssuuna II of Buganda,Uganda,774684052,40141000,Start
Kamaanya of Buganda,Uganda,774684080,40141000,C
Semakookiro of Buganda,Uganda,774684109,40141000,Start
Jjunju of Buganda,Uganda,774684124,40141000,Start
Kato Kintu,Uganda,774684195,40141000,Stub
Chwa I of Buganda,Uganda,774684228,40141000,Start
Kyabaggu of Buganda,Uganda,774830237,40141000,Start
Kiweewa of Buganda,Uganda,774831268,40141000,Start
Ismael Orot,Uganda,775522497,40141000,Stub
James Obita,Uganda,775995921,40141000,Stub
Janat Mukwaya,Uganda,776107670,40141000,Start
Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,40141000,Start
Jeremiah Twa-Twa,Uganda,776491782,40141000,Start
Joyce Kakuramatsi Kikafunda,Uganda,777643576,40141000,Stub
Kania Obiga,Uganda,778265355,40141000,Stub
Apollo Kironde,Uganda,778598971,40141000,Stub
Kibirige Mayanja,Uganda,778840186,40141000,Start
Kintu Musoke,Uganda,779007768,40141000,Start
Jessica Alupo,Uganda,779397351,40141000,Start
Rebecca Amuge Otengo,Uganda,779397437,40141000,Start
Syda Bbumba,Uganda,779397532,40141000,Start
Alintuma Nsambu,Uganda,781605803,40141000,Stub
Esther Mbulakubuza Mbayo,Uganda,781789704,40141000,Start
Abdul Nadduli,Uganda,782460126,40141000,Stub
Moses Kizige,Uganda,782979760,40141000,Start
Maria Kiwanuka,Uganda,783449036,40141000,Start
Elijah Mushemeza,Uganda,784734768,40141000,C
Michael Lulume Bayigga,Uganda,784768216,40141000,Start
Deo Rwabiita,Uganda,785038536,40141000,Stub
Daudi Ochieng,Uganda,785108122,40141000,Stub
Joy Kabatsi,Uganda,785339072,40141000,Start
Joshua Wanume Kibedi,Uganda,785862055,40141000,C
Kizza Besigye,Uganda,786081128,40141000,C
Apolo Kagwa,Uganda,786226893,40141000,C
Michael Kawalya Kagwa,Uganda,787306486,40141000,Stub
Abed Bwanika,Uganda,787410566,40141000,Start
Aggrey Awori,Uganda,787858057,40141000,C
Aggrey Bagiire,Uganda,787858062,40141000,Stub
Agnes Akiror,Uganda,787870163,40141000,Start
Namirembe Bitamazire,Uganda,788019797,40141000,Start
Amon Bazira,Uganda,788899061,40141000,Stub
Christopher Iga,Uganda,788972378,40141000,Stub
Nasser Sebaggala,Uganda,788972461,40141000,Start
Erias Lukwago,Uganda,788972566,40141000,Start
Template:KampalaMayors,Uganda,788972642,40141000,Start
Beatrice Wabudeya,Uganda,789747515,40141000,Start
Jane Aceng,Uganda,789747629,40141000,C
Ruth Achieng,Uganda,789747664,40141000,Stub
Justine Ayebazibwe,Uganda,789748037,40141000,Stub
Jessica Eriyo,Uganda,789748269,40141000,Start
Mary Karooro Okurut,Uganda,789748670,40141000,C
Adrian Tibaleka,Uganda,789748752,40141000,Stub
Nusura Tiperu,Uganda,789748782,40141000,Start
Florence Nakiwala Kiyingi,Uganda,789748978,40141000,Start
Ruth Nankabirwa,Uganda,789799593,40141000,Start
Justine Lumumba Kasule,Uganda,789799605,40141000,Start
Idah Nantaba,Uganda,789799744,40141000,C
Harriet Ntabazi,Uganda,789799847,40141000,Start
Florence Nebanda,Uganda,789799901,40141000,Start
Lukia Isanga Nakadama,Uganda,789799952,40141000,Start
Mariam Nalubega,Uganda,789799984,40141000,Start
Jenipher Namuyangu,Uganda,789800111,40141000,C
Sarah Kataike,Uganda,789800331,40141000,C
Caroline Amali Okao,Uganda,789800629,40141000,Start
Beatrice Rwakimari,Uganda,789803765,40141000,Stub
Mariam Naigaga,Uganda,790372580,40141000,C
Rose Akol,Uganda,790424964,40141000,Start
Amelia Kyambadde,Uganda,790428762,40141000,Start
Jehoash Mayanja Nkangi,Uganda,790837175,40141000,Start
Joash Mayanja Nkangi,Uganda,790993796,40141000,C
Moses Adome,Uganda,791007274,40141000,Stub
Paulson Luttamaguzi,Uganda,791007297,40141000,Stub
Charles Engola,Uganda,793154991,40141000,Start
Cerinah Nebanda,Uganda,793515881,40141000,Start
John Ssebaana Kizito,Uganda,793539141,40141000,Start
Persis Namuganza,Uganda,793628029,40141000,Start
Christine Amongin Aporu,Uganda,794194807,40141000,Start
Christine Ondoa,Uganda,794200311,40141000,Start
Concy Aciro,Uganda,795100048,40141000,Start
Peace Mutuuzo,Uganda,795181968,40141000,Start
Patrick Kayemba,Uganda,795404749,40141000,Stub
Alengot Oromait,Uganda,795458281,40141000,Start
Beti Kamya-Turwomwe,Uganda,796177970,40141000,C
Abdu Katuntu,Uganda,796406864,40141000,Stub
Loyce Biira Bwambale,Uganda,796684047,40141000,Start
Mike Kennedy Sebalu,Uganda,796694225,40141000,Stub
Miria Matembe,Uganda,796695675,40141000,Start
Kalema of Buganda,Uganda,796808819,40141000,Start
Maria Mutagamba,Uganda,796899099,40141000,C
Sarah Achieng Opendi,Uganda,796991691,40141000,Start
Benedicto Kiwanuka,Uganda,797399615,40141000,Start
Yusuf Lule,Uganda,797449179,40141000,Start
Miria Obote,Uganda,797874277,40141000,Stub
Grace Akello,Uganda,798483499,40141000,Start
Joyce Moriku,Uganda,798506935,40141000,Start
David Karubanga,Uganda,799178559,40141000,Stub
Peter Takirambudde,Uganda,799513148,40141000,Stub
Mustafa Adrisi,Uganda,799651351,40141000,Stub
Rose Namayanja,Uganda,800003733,40141000,C
Timeline of Kampala,Uganda,800090136,40141000,C
Dora Byamukama,Uganda,800350710,40141000,Stub
Kirya Balaki Kebba,Uganda,800452152,40141000,C
Ismail Ogama,Uganda,800595514,40141000,Stub
Kassiano Wadri,Uganda,800595577,40141000,Stub
Abraham Waligo,Uganda,800900766,40141000,Stub
Rebecca Kadaga,Uganda,800965489,40141000,C
Emma Boona,Uganda,801577218,40141000,C
Augustine Nshimye,Uganda,801836959,40141000,Start
Ibrahim Ssemujju Nganda,Uganda,801874546,40141000,C
Paulo Muwanga,Uganda,802211455,40141000,Start
Christopher Kibanzanga,Uganda,802286792,40141000,Start
Ezekiel Tenywa Wako of Busoga,Uganda,802517620,40141000,Stub
Robert Kyagulanyi Ssentamu,Uganda,802822017,40141000,Stub
Mariam Najjemba,Uganda,802972400,40141000,Stub
Bernadette Olowo,Uganda,803360897,40141000,Stub
Monica Azuba Ntege,Uganda,803417110,40141000,Start
Benna Namugwanya,Uganda,804317144,40141000,Stub
Dorothy Hyuha,Uganda,804643751,40141000,Stub
Sam Cheptoris,Uganda,804781815,40141000,Stub
Betty Oyella Bigombe,Uganda,804829931,40141000,Start
Muwenda Mutebi II of Buganda,Uganda,804856220,40141000,Stub
Nabilah Naggayi Sempala,Uganda,804883827,40141000,Stub
Charles Mayiga,Uganda,804903944,40141000,Stub
Muteesa I of Buganda,Uganda,805179937,40141000,Stub
Mwanga II of Buganda,Uganda,805289323,40141000,Stub
Idi Amin,Uganda,805328243,40141000,Stub
Irene Muloni,Uganda,805393764,40141000,Stub
Gershom Sizomu,Uganda,805409966,40141000,Stub
Specioza Kazibwe,Uganda,805435381,40141000,Stub
Janet Museveni,Uganda,805463795,40141000,Stub
Evelyn Anite,Uganda,805660978,40141000,Stub
Betty Amongi,Uganda,805668648,40141000,GA
Cecilia Ogwal,Uganda,805668810,40141000,Start
Doreen Amule,Uganda,805678630,40141000,Stub
Muhammad Nsereko,Uganda,806171535,40141000,Start
Betty Nambooze,Uganda,806171836,40141000,Start
Barbara Nekesa Oundo,Uganda,806276711,40141000,Start
Oliver Wonekha,Uganda,806276835,40141000,Start
Margaret Zziwa,Uganda,806337809,40141000,C
Mutesa II of Buganda,Uganda,806741960,40141000,C
Ignatius K. Musaazi,Uganda,807146511,40141000,Start
Princess Elizabeth Nantale Mulondo,Uganda,807467793,40141000,Start
Template:Namibia-politician-stub,Namibia,391862409,2482100,Start
Template:Namibia-mayor-stub,Namibia,444756008,2482100,C
Karlous Marx Shinohamba,Namibia,706945392,2482100,B
Dawid Bezuidenhout,Namibia,714705477,2482100,Start
Gabes Shihepo,Namibia,714887791,2482100,Start
Themistokles Dudu Murorua,Namibia,715035025,2482100,Start
Johannes Nakwafila,Namibia,715168821,2482100,C
Kaire Mbuende,Namibia,715193056,2482100,C
Jhonny Haikella Hakaye,Namibia,715558961,2482100,Start
Rihupisa Justus Kandando,Namibia,715716890,2482100,Start
Sebastian Ignatius ÇƒGobs,Namibia,715737685,2482100,Start
Hans Booys,Namibia,716991969,2482100,Start
